DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY,,
201011,Southern Avenue,5633.4,,
201011,Stadium-Armory,2809.2,,
201011,Suitland,6274.3,,
201011,Takoma,6133.8,,
201011,Tenleytown-AU,7115.9,,
201011,Twinbrook,4525.9,,
201011,U Street-Cardozo,6542.4,,
201011,Union Station,29413.8,,
201011,Van Dorn Street,3441.9,,
201011,Van Ness-UDC,7831.2,,
201011,Vienna,13335.7,,
201011,Virginia Square-GMU,3986,,
201011,Waterfront,3761.9,,
201011,West Falls Church,10248.6,,
201011,West Hyattsville,3559.9,,
201011,Wheaton,4240.9,,
201011,White Flint,4064.6,,
201011,Woodley Park-Zoo,6343.5,,
201012,Addison Road,3178.6,,
201012,Anacostia,6531.1,,
201012,Archives-Navy Memorial,8140.5,,
201012,Arlington Cemetery,525.4,,
201012,Ballston,10741.2,,
201012,Benning Road,2924.3,,
201012,Bethesda,9470.6,,
201012,Braddock Road,3956.1,,
201012,Branch Avenue,5837.3,,
201012,Brookland,5667.5,,
201012,Capitol Heights,1931.4,,
201012,Capitol South,6750,,
201012,Cheverly,1350.5,,
201012,Clarendon,3715.5,,
201012,Cleveland Park,4074.2,,
201012,College Park-U of MD,3847.3,,
201012,Columbia Heights,11200.4,,
201012,Congress Heights,2453.9,,
201012,Court House,6525,,
201012,Crystal City,12879.5,,
201012,Deanwood,1573.2,,
201012,Dunn Loring,4518.2,,
201012,Dupont Circle,19171.1,,
201012,East Falls Church,3518.9,,
201012,Eastern Market,5443.3,,
201012,Eisenhower Avenue,1715.1,,
201012,Farragut North,21381.5,,
201012,Farragut West,15914.2,,
201012,Federal Center SW,5358,,
201012,Federal Triangle,9365.2,,
201012,Foggy Bottom,17815.9,,
201012,Forest Glen,2127.4,,
201012,Fort Totten,6265.8,,
201012,Franconia-Springfield,8599.7,,
201012,Friendship Heights,9086.2,,
201012,Gallery Place-Chinatown,26230.4,,
201012,Georgia Avenue-Petworth,5085.7,,
201012,Glenmont,5338.4,,
201012,Greenbelt,6266,,
201012,Grosvenor,5184.5,,
201012,Huntington,7873.5,,
201012,Judiciary Square,8633.8,,
201012,King St-Old Town,7469.1,,
201012,L'Enfant Plaza,19144.2,,
201012,Landover,2184.4,,
201012,Largo Town Center,4581.7,,
201012,McPherson Square,14768.2,,
201012,Medical Center,4523.6,,
201012,Metro Center,27647.5,,
201012,Minnesota Avenue,2745.7,,
201012,Morgan Blvd.,1497.3,,
201012,Mt. Vernon Square-UDC,3162.7,,
201012,Navy Yard-Ballpark,5291.6,,
201012,Naylor Road,2731.9,,
201012,New Carrollton,8960.5,,
201012,NoMa-Gallaudet U,6007.1,,
201012,Pentagon,14889.9,,
201012,Pentagon City,16512.6,,
201012,Potomac Avenue,3613.7,,
201012,Prince George's Plaza,4762.4,,
201012,Reagan Washington National Airport,5431.8,,
201012,Rhode Island Avenue,4472.4,,
201012,Rockville,4257,,
201012,Rosslyn,14187.8,,
201012,Shady Grove,12362.3,,
201012,Shaw-Howard University,3888,,
201012,Silver Spring,11399.5,,
201012,Smithsonian,9561.8,,
201012,Southern Avenue,5189.5,,
201012,Stadium-Armory,3016.1,,
201012,Suitland,5799.4,,
201012,Takoma,5496.4,,
201012,Tenleytown-AU,5616.7,,
201012,Twinbrook,4168.8,,
201012,U Street-Cardozo,5907.3,,
201012,Union Station,27836.6,,
201012,Van Dorn Street,3110.6,,
201012,Van Ness-UDC,6637,,
201012,Vienna,12251,,
201012,Virginia Square-GMU,3547.2,,
201012,Waterfront,3606.7,,
201012,West Falls Church,9326.3,,
201012,West Hyattsville,3318,,
201012,Wheaton,4052.1,,
201012,White Flint,3725,,
201012,Woodley Park-Zoo,5832.3,,
201101,Addison Road,3263.3,,
201101,Anacostia,6849.7,,
201101,Archives-Navy Memorial,8283.2,,
201101,Arlington Cemetery,365.8,,
201101,Ballston,11600.1,,
201101,Benning Road,2959.5,,
201101,Bethesda,9912.3,,
201101,Braddock Road,4305.2,,
201101,Branch Avenue,5991.2,,
201101,Brookland,6685.9,,
201101,Capitol Heights,1951.3,,
201101,Capitol South,8028.4,,
201101,Cheverly,1398.1,,
201101,Clarendon,4053.2,,
201101,Cleveland Park,4365.9,,
201101,College Park-U of MD,3934.6,,
201101,Columbia Heights,11702.2,,
201101,Congress Heights,2559.7,,
201101,Court House,7194,,
201101,Crystal City,14159.4,,
201101,Deanwood,1617.9,,
201101,Dunn Loring,4601.6,,
201101,Dupont Circle,20775.2,,
201101,East Falls Church,3684.4,,
201101,Eastern Market,6041.4,,
201101,Eisenhower Avenue,1804.4,,
201101,Farragut North,23205,,
201101,Farragut West,21448.7,,
201101,Federal Center SW,5758.8,,
201101,Federal Triangle,9291.8,,
201101,Foggy Bottom,19566.4,,
201101,Forest Glen,2244.8,,
201101,Fort Totten,6601.8,,
201101,Franconia-Springfield,8800.6,,
201101,Friendship Heights,9010.6,,
201101,Gallery Place-Chinatown,25616.1,,
201101,Georgia Avenue-Petworth,5384.2,,
201101,Glenmont,5408.7,,
201101,Greenbelt,6161.9,,
201101,Grosvenor,5451.2,,
201101,Huntington,8331.3,,
201101,Judiciary Square,9380.6,,
201101,King St-Old Town,7794,,
201101,L'Enfant Plaza,20738.5,,
201101,Landover,2249.6,,
201101,Largo Town Center,4690,,
201101,McPherson Square,15819.7,,
201101,Medical Center,5455.8,,
201101,Metro Center,26983.1,,
201101,Minnesota Avenue,2962.6,,
201101,Morgan Blvd.,1519.5,,
201101,Mt. Vernon Square-UDC,3560.7,,
201101,Navy Yard-Ballpark,5970.5,,
201101,Naylor Road,2733.4,,
201101,New Carrollton,7012.3,,
201101,NoMa-Gallaudet U,6532,,
201101,Pentagon,16288.8,,
201101,Pentagon City,14557.7,,
201101,Potomac Avenue,3224.9,,
201101,Prince George's Plaza,4676,,
201101,Reagan Washington National Airport,5081,,
201101,Rhode Island Avenue,4557.7,,
201101,Rockville,4257.1,,
201101,Rosslyn,16103.5,,
201101,Shady Grove,12449,,
201101,Shaw-Howard University,4545.7,,
201101,Silver Spring,12085.2,,
201101,Smithsonian,8644.9,,
201101,Southern Avenue,5280.9,,
201101,Stadium-Armory,2964.4,,
201101,Suitland,5957.6,,
201101,Takoma,5876,,
201101,Tenleytown-AU,6735.7,,
201101,Twinbrook,4308.6,,
201101,U Street-Cardozo,6334.2,,
201101,Union Station,30195.1,,
201101,Van Dorn Street,3281.5,,
201101,Van Ness-UDC,7903.3,,
201101,Vienna,12416.5,,
201101,Virginia Square-GMU,3867,,
201101,Waterfront,3754.6,,
201101,West Falls Church,9908.1,,
201101,West Hyattsville,3375.3,,
201101,Wheaton,3954.8,,
201101,White Flint,3879.7,,
201101,Woodley Park-Zoo,6303.3,,
201102,Addison Road,3573.8,,
201102,Anacostia,7652.1,,
201102,Archives-Navy Memorial,8626.8,,
201102,Arlington Cemetery,423.6,,
201102,Ballston,12149.3,,
201102,Benning Road,3236.1,,
201102,Bethesda,10350.2,,
201102,Braddock Road,4468.4,,
201102,Branch Avenue,6303.7,,
201102,Brookland,7219,,
201102,Capitol Heights,2098.4,,
201102,Capitol South,8432.5,,
201102,Cheverly,1475.1,,
201102,Clarendon,4248.1,,
201102,Cleveland Park,4479.2,,
201102,College Park-U of MD,4791.7,,
201102,Columbia Heights,11259.4,,
201102,Congress Heights,2868.6,,
201102,Court House,7474.5,,
201102,Crystal City,14725.5,,
201102,Deanwood,1792.2,,
201102,Dunn Loring,4852.9,,
201102,Dupont Circle,22263.6,,
201102,East Falls Church,3834.4,,
201102,Eastern Market,6201.6,,
201102,Eisenhower Avenue,1914.6,,
201102,Farragut North,24180.8,,
201102,Farragut West,22508.1,,
201102,Federal Center SW,5874,,
201102,Federal Triangle,8350.5,,
201102,Foggy Bottom,21010.4,,
201102,Forest Glen,2328.7,,
201102,Fort Totten,7106.4,,
201102,Franconia-Springfield,8890,,
201102,Friendship Heights,9337.6,,
201102,Gallery Place-Chinatown,26697.5,,
201102,Georgia Avenue-Petworth,5940.6,,
201102,Glenmont,5665.6,,
201102,Greenbelt,6475.8,,
201102,Grosvenor,5688.4,,
201102,Huntington,8546.7,,
201102,Judiciary Square,9374.7,,
201102,King St-Old Town,8257.3,,
201102,L'Enfant Plaza,21408.4,,
201102,Landover,2408.7,,
201102,Largo Town Center,5079.8,,
201102,McPherson Square,16481.1,,
201102,Medical Center,5787.9,,
201102,Metro Center,28549.5,,
201102,Minnesota Avenue,3295.8,,
201102,Morgan Blvd.,1636.3,,
201102,Mt. Vernon Square-UDC,3981.6,,
201102,Navy Yard-Ballpark,6175.2,,
201102,Naylor Road,3008.8,,
201102,New Carrollton,9600.8,,
201102,NoMa-Gallaudet U,7078.2,,
201102,Pentagon,16151.6,,
201102,Pentagon City,15254.4,,
201102,Potomac Avenue,4111.1,,
201102,Prince George's Plaza,5308.1,,
201102,Reagan Washington National Airport,5181.4,,
201102,Rhode Island Avenue,4901.2,,
201102,Rockville,4638.1,,
201102,Rosslyn,16938,,
201102,Shady Grove,13143.1,,
201102,Shaw-Howard University,4924.3,,
201102,Silver Spring,12901.4,,
201102,Smithsonian,8956.3,,
201102,Southern Avenue,5749.9,,
201102,Stadium-Armory,2854.6,,
201102,Suitland,6325.2,,
201102,Takoma,6325.8,,
201102,Tenleytown-AU,7340.9,,
201102,Twinbrook,4473.8,,
201102,U Street-Cardozo,6973.6,,
201102,Union Station,31812.1,,
201102,Van Dorn Street,3392.3,,
201102,Van Ness-UDC,8342.1,,
201102,Vienna,13286.9,,
201102,Virginia Square-GMU,4124.8,,
201102,Waterfront,3991.7,,
201102,West Falls Church,10352.1,,
201102,West Hyattsville,3589.2,,
201102,Wheaton,4269.1,,
201102,White Flint,4045.4,,
201102,Woodley Park-Zoo,7410.3,,
201103,Addison Road,3597,,
201103,Anacostia,7528.3,,
201103,Archives-Navy Memorial,9397.3,,
201103,Arlington Cemetery,1405.1,,
201103,Ballston,12300.7,,
201103,Benning Road,3267.5,,
201103,Bethesda,10849.3,,
201103,Braddock Road,4633.9,,
201103,Branch Avenue,6646.3,,
201103,Brookland,7093.8,,
201103,Capitol Heights,2139,,
201103,Capitol South,8432.5,,
201103,Cheverly,1557.8,,
201103,Clarendon,4424.7,,
201103,Cleveland Park,4629,,
201103,College Park-U of MD,4754.8,,
201103,Columbia Heights,11369.3,,
201103,Congress Heights,2840.3,,
201103,Court House,7642,,
201103,Crystal City,15666.1,,
201103,Deanwood,1829.8,,
201103,Dunn Loring,5181.4,,
201103,Dupont Circle,23050.2,,
201103,East Falls Church,4067.4,,
201103,Eastern Market,6356.6,,
201103,Eisenhower Avenue,2038.2,,
201103,Farragut North,24468.6,,
201103,Farragut West,22870.8,,
201103,Federal Center SW,6179.6,,
201103,Federal Triangle,10776.9,,
201103,Foggy Bottom,21962.3,,
201103,Forest Glen,2371.1,,
201103,Fort Totten,7207.3,,
201103,Franconia-Springfield,9528.9,,
201103,Friendship Heights,9611.4,,
201103,Gallery Place-Chinatown,29099.4,,
201103,Georgia Avenue-Petworth,6052,,
201103,Glenmont,5811.8,,
201103,Greenbelt,6964.6,,
201103,Grosvenor,5874.6,,
201103,Huntington,9211,,
201103,Judiciary Square,10011.7,,
201103,King St-Old Town,9223.2,,
201103,L'Enfant Plaza,22679.7,,
201103,Landover,2455.8,,
201103,Largo Town Center,5187,,
201103,McPherson Square,16916.6,,
201103,Medical Center,5874,,
201103,Metro Center,29848.9,,
201103,Minnesota Avenue,3333.4,,
201103,Morgan Blvd.,1710.2,,
201103,Mt. Vernon Square-UDC,4013.2,,
201103,Navy Yard-Ballpark,7056.1,,
201103,Naylor Road,3053.5,,
201103,New Carrollton,9067,,
201103,NoMa-Gallaudet U,7471.1,,
201103,Pentagon,16567.6,,
201103,Pentagon City,16308,,
201103,Potomac Avenue,4125.5,,
201103,Prince George's Plaza,5290.3,,
201103,Reagan Washington National Airport,6042.7,,
201103,Rhode Island Avenue,5069.8,,
201103,Rockville,4819.9,,
201103,Rosslyn,17543.2,,
201103,Shady Grove,13913.7,,
201103,Shaw-Howard University,4899.9,,
201103,Silver Spring,13322.7,,
201103,Smithsonian,12931.6,,
201103,Southern Avenue,5752.7,,
201103,Stadium-Armory,3192.5,,
201103,Suitland,6372.4,,
201103,Takoma,6477.1,,
201103,Tenleytown-AU,7076.9,,
201103,Twinbrook,4695.5,,
201103,U Street-Cardozo,7091.3,,
201103,Union Station,34474.8,,
201103,Van Dorn Street,3637.5,,
201103,Van Ness-UDC,8111.5,,
201103,Vienna,13842.4,,
201103,Virginia Square-GMU,4127.1,,
201103,Waterfront,4117.2,,
201103,West Falls Church,10780,,
201103,West Hyattsville,3703.6,,
201103,Wheaton,4426.7,,
201103,White Flint,4307.8,,
201103,Woodley Park-Zoo,7591.9,,
201104,Addison Road,3600.9,,
201104,Anacostia,7437.6,,
201104,Archives-Navy Memorial,10044,,
201104,Arlington Cemetery,2335.2,,
201104,Ballston,12274.9,,
201104,Benning Road,3124.4,,
201104,Bethesda,10877.8,,
201104,Braddock Road,4695.1,,
201104,Branch Avenue,6871.5,,
201104,Brookland,7144.3,,
201104,Capitol Heights,2139.7,,
201104,Capitol South,9005.3,,
201104,Cheverly,1542.6,,
201104,Clarendon,4486.6,,
201104,Cleveland Park,4952.1,,
201104,College Park-U of MD,5321.9,,
201104,Columbia Heights,12382.6,,
201104,Congress Heights,2643,,
201104,Court House,7713.3,,
201104,Crystal City,15850.1,,
201104,Deanwood,1760.2,,
201104,Dunn Loring,5381.4,,
201104,Dupont Circle,23547.6,,
201104,East Falls Church,4116.9,,
201104,Eastern Market,6395.4,,
201104,Eisenhower Avenue,2174.7,,
201104,Farragut North,24046.2,,
201104,Farragut West,22959.6,,
201104,Federal Center SW,6168,,
201104,Federal Triangle,11364.1,,
201104,Foggy Bottom,22150.5,,
201104,Forest Glen,2394.4,,
201104,Fort Totten,7231.9,,
201104,Franconia-Springfield,10018.8,,
201104,Friendship Heights,9880.3,,
201104,Gallery Place-Chinatown,29007.4,,
201104,Georgia Avenue-Petworth,5955.1,,
201104,Glenmont,5881.1,,
201104,Greenbelt,7237.5,,
201104,Grosvenor,5923.5,,
201104,Huntington,9385.2,,
201104,Judiciary Square,9816.3,,
201104,King St-Old Town,9669.5,,
201104,L'Enfant Plaza,23038.8,,
201104,Landover,2452,,
201104,Largo Town Center,5261.3,,
201104,McPherson Square,17055.4,,
201104,Medical Center,5759.9,,
201104,Metro Center,30709.9,,
201104,Minnesota Avenue,3197.7,,
201104,Morgan Blvd.,1724,,
201104,Mt. Vernon Square-UDC,4097.5,,
201104,Navy Yard-Ballpark,8982,,
201104,Naylor Road,2743.5,,
201104,New Carrollton,10288.1,,
201104,NoMa-Gallaudet U,7455.7,,
201104,Pentagon,17066.5,,
201104,Pentagon City,17627.7,,
201104,Potomac Avenue,4002.1,,
201104,Prince George's Plaza,5441.6,,
201104,Reagan Washington National Airport,6158,,
201104,Rhode Island Avenue,5098.4,,
201104,Rockville,4910.8,,
201104,Rosslyn,17814,,
201104,Shady Grove,14159,,
201104,Shaw-Howard University,4944.8,,
201104,Silver Spring,13533.5,,
201104,Smithsonian,17064.9,,
201104,Southern Avenue,5759,,
201104,Stadium-Armory,2864,,
201104,Suitland,6382.1,,
201104,Takoma,6492.5,,
201104,Tenleytown-AU,7416.4,,
201104,Twinbrook,4714.1,,
201104,U Street-Cardozo,7145.6,,
201104,Union Station,34806.5,,
201104,Van Dorn Street,3777,,
201104,Van Ness-UDC,7830.9,,
201104,Vienna,14273.5,,
201104,Virginia Square-GMU,4090.9,,
201104,Waterfront,4106.6,,
201104,West Falls Church,10823.8,,
201104,West Hyattsville,3783.8,,
201104,Wheaton,4430.8,,
201104,White Flint,4182.9,,
201104,Woodley Park-Zoo,9386.5,,
201105,Addison Road,3614.8,,
201105,Anacostia,7479.4,,
201105,Archives-Navy Memorial,9564.8,,
201105,Arlington Cemetery,1866.3,,
201105,Ballston,12016.4,,
201105,Benning Road,3240.9,,
201105,Bethesda,10764.6,,
201105,Braddock Road,4558.9,,
201105,Branch Avenue,6660.2,,
201105,Brookland,6576.4,,
201105,Capitol Heights,2149.6,,
201105,Capitol South,9194.3,,
201105,Cheverly,1542.7,,
201105,Clarendon,4414.3,,
201105,Cleveland Park,4676.1,,
201105,College Park-U of MD,4768.3,,
201105,Columbia Heights,12369.3,,
201105,Congress Heights,2814.3,,
201105,Court House,7468.2,,
201105,Crystal City,15186.7,,
201105,Deanwood,1844.1,,
201105,Dunn Loring,5301.3,,
201105,Dupont Circle,22696.6,,
201105,East Falls Church,4102.5,,
201105,Eastern Market,6262.3,,
201105,Eisenhower Avenue,2093.8,,
201105,Farragut North,23795.3,,
201105,Farragut West,22575.2,,
201105,Federal Center SW,6011.1,,
201105,Federal Triangle,10237.5,,
201105,Foggy Bottom,21318.3,,
201105,Forest Glen,2365,,
201105,Fort Totten,7363.8,,
201105,Franconia-Springfield,9543.4,,
201105,Friendship Heights,9957,,
201105,Gallery Place-Chinatown,25693.6,,
201105,Georgia Avenue-Petworth,6027.2,,
201105,Glenmont,5850.2,,
201105,Greenbelt,6923.5,,
201105,Grosvenor,5876.4,,
201105,Huntington,9183.3,,
201105,Judiciary Square,9643.3,,
201105,King St-Old Town,9305.8,,
201105,L'Enfant Plaza,22068,,
201105,Landover,2478.4,,
201105,Largo Town Center,5110.9,,
201105,McPherson Square,16873,,
201105,Medical Center,5865.9,,
201105,Metro Center,28982.5,,
201105,Minnesota Avenue,3274.3,,
201105,Morgan Blvd.,1735.5,,
201105,Mt. Vernon Square-UDC,3813.3,,
201105,Navy Yard-Ballpark,8249.6,,
201105,Naylor Road,3046.6,,
201105,New Carrollton,9940.3,,
201105,NoMa-Gallaudet U,7461,,
201105,Pentagon,16998.7,,
201105,Pentagon City,17022.8,,
201105,Potomac Avenue,4049.6,,
201105,Prince George's Plaza,5374,,
201105,Reagan Washington National Airport,6739.2,,
201105,Rhode Island Avenue,5226.7,,
201105,Rockville,4812.3,,
201105,Rosslyn,17155.7,,
201105,Shady Grove,13856.5,,
201105,Shaw-Howard University,4438.2,,
201105,Silver Spring,13470.3,,
201105,Smithsonian,12602.8,,
201105,Southern Avenue,5775.9,,
201105,Stadium-Armory,3076.6,,
201105,Suitland,6408.1,,
201105,Takoma,6487.2,,
201105,Tenleytown-AU,6676.7,,
201105,Twinbrook,4772.6,,
201105,U Street-Cardozo,7048.4,,
201105,Union Station,33692.8,,
201105,Van Dorn Street,3653.5,,
201105,Van Ness-UDC,7558.5,,
201105,Vienna,13536.2,,
201105,Virginia Square-GMU,3953.4,,
201105,Waterfront,4236.3,,
201105,West Falls Church,10739.8,,
201105,West Hyattsville,3855.3,,
201105,Wheaton,4471.8,,
201105,White Flint,4266,,
201105,Woodley Park-Zoo,7863.7,,
201106,Addison Road,3672.8,,
201106,Anacostia,7543.3,,
201106,Archives-Navy Memorial,10780.5,,
201106,Arlington Cemetery,2442.2,,
201106,Ballston,12752.2,,
201106,Benning Road,3147.4,,
201106,Bethesda,11329.2,,
201106,Braddock Road,4897.8,,
201106,Branch Avenue,7151.2,,
201106,Brookland,6626.3,,
201106,Capitol Heights,2143,,
201106,Capitol South,10970.3,,
201106,Cheverly,1627.2,,
201106,Clarendon,4680.6,,
201106,Cleveland Park,4779.3,,
201106,College Park-U of MD,5577.9,,
